Period,Region,State,Year,Added & Replaced,Colony Loss,Colony loss %,Disease_unformated,Diseases %,Inventory,"Loss, Colony Collapse Disorder",Other causes %,Other Causes_unformatted,Other Pests %,Other pests_unformatted,Percent Colony Loss,Pesticides %,pesticides_unformatted,Renovated - Inventory,Renovated - Inventory Measured In Pct Of Colonies,Renovated - Inventory Pct,Unknown Causes %,Unknown_unformatted,Varroa Mites %,Varroa Mites_unformatted
APR THRU JUN,West,NEW MEXICO,2021,560,670,0.12,1.3,0.013,5500,370,0,0,0.012,1.2,12,0.025,2.5,2300,,42,,,60.00%,60
JAN THRU MAR,South,KENTUCKY,2022,50,1300,0.14,3,0.03,8500,280,0.056,5.6,0.039,3.9,14,0.028,2.8,160,,2,0.11,11,15.60%,15.6
JUL THRU SEP,South,NORTH CAROLINA,2019,1800,2700,0.12,19.7,0.197,22000,300,0.097,9.7,0.113,11.3,12,0.04,4,5000,,23,0.057,5.7,26.90%,26.9
OCT THRU DEC,Midwest,NORTH DAKOTA,2020,12500,45000,0.1,5.1,0.051,445000,16000,0.011,1.1,0.005,0.5,10,0.115,11.5,,,0,0.055,5.5,60.20%,60.2
OCT THRU DEC,Midwest,IOWA,2021,170,4000,0.08,0.9,0.009,51000,2100,0.01,1,0.012,1.2,8,0.17,17,90,,,0.017,1.7,17.90%,17.9
JUL THRU SEP,Midwest,MICHIGAN,2018,3000,8000,0.09,1.1,0.011,88000,,0.195,19.5,0.138,13.8,9,0.238,23.8,22000,,25,0.186,18.6,92.40%,92.4
JUL THRU SEP,Midwest,MINNESOTA,2017,1900,20000,0.15,1.8,0.018,136000,,0.116,11.6,0.047,4.7,15,0.094,9.4,2200,,2,0.023,2.3,39.80%,39.8
JUL THRU SEP,Northeast,PENNSYLVANIA,2018,2900,860,0.04,1.9,0.019,20000,,0.017,1.7,0.081,8.1,4,0.016,1.6,2300,,11,0.026,2.6,23.50%,23.5
JAN THRU MAR,South,TENNESSEE,2015,1000,2000,0.21,0,0,9500,,0.13,13,0.171,17.1,21,0,0,190,,2,0.044,4.4,22.20%,22.2
JUL THRU SEP,West,CALIFORNIA,2019,87000,93000,0.13,8.7,0.087,650000,12000,0.111,11.1,0.115,11.5,13,0.16,16,108000,,15,0.032,3.2,49.00%,49
APR THRU JUN,West,CALIFORNIA,2020,175000,100000,0.08,3.9,0.039,1200000,3200,0.076,7.6,0.048,4.8,8,0.055,5.5,240000,,20,0.031,3.1,33.60%,33.6
OCT THRU DEC,Midwest,NEBRASKA,2015,10,7000,0.1,0.2,0.002,72000,,0.004,0.4,0,0,10,0.003,0.3,5500,,8,0.017,1.7,15.50%,15.5
OCT THRU DEC,Midwest,MISSOURI,2020,20,750,0.11,,,6500,190,0.031,3.1,0.079,7.9,11,0.005,0.5,110,,2,0.008,0.8,13.10%,13.1
APR THRU JUN,West,COLORADO,2016,9000,1800,0.06,3.3,0.033,9500,,0.026,2.6,0.008,0.8,6,0.014,1.4,680,,2,0.003,0.3,38.70%,38.7
JAN THRU MAR,South,KENTUCKY,2017,950,1300,0.19,0.4,0.004,6500,,0.16,16,0.115,11.5,19,0.038,3.8,430,,6,0.075,7.5,31.90%,31.9
OCT THRU DEC,West,ARIZONA,2015,3000,12000,0.31,1.1,0.011,36000,,0.005,0.5,0.017,1.7,31,0.035,3.5,16000,,41,0.155,15.5,50.10%,50.1
JAN THRU MAR,South,OKLAHOMA,2017,9500,550,0.02,0,0,26000,,0.005,0.5,0.01,1,2,0.001,0.1,1700,,7,0.003,0.3,11.90%,11.9
APR THRU JUN,Midwest,INDIANA,2020,4500,920,0.08,1.8,0.018,11000,30,0.054,5.4,0.125,12.5,8,0.202,20.2,1800,,15,0.015,1.5,26.80%,26.8
APR THRU JUN,South,MISSISSIPPI,2017,5500,3800,0.04,0,0,89000,,0.037,3.7,0.009,0.9,4,0.017,1.7,26000,,29,0.008,0.8,14.00%,14
JUL THRU SEP,South,FLORIDA,2016,62000,25000,0.11,2.7,0.027,200000,,0.085,8.5,0.234,23.4,11,0.099,9.9,14500,,7,0.018,1.8,45.10%,45.1
JUL THRU SEP,Northeast,PENNSYLVANIA,2016,680,1300,0.06,1.6,0.016,19000,,0.028,2.8,0.077,7.7,6,0.043,4.3,780,,4,0.012,1.2,27.30%,27.3
APR THRU JUN,South,MISSISSIPPI,2020,1500,4500,0.12,0,0,34000,260,0.085,8.5,0.578,57.8,12,0.009,0.9,570,,2,,,93.10%,93.1
APR THRU JUN,Midwest,NORTH DAKOTA,2017,31000,16000,0.04,3.2,0.032,115000,,0.032,3.2,0.04,4,4,0.053,5.3,41000,,9,0.01,1,29.30%,29.3
OCT THRU DEC,Midwest,MICHIGAN,2018,3900,6000,0.08,15.6,0.156,77000,,0.024,2.4,0.312,31.2,8,0.151,15.1,1800,,2,0.066,6.6,52.00%,52
APR THRU JUN,Midwest,ILLINOIS,2015,6000,1300,0.14,0.2,0.002,9500,,0.023,2.3,0.037,3.7,14,0.025,2.5,1500,,16,0.024,2.4,10.30%,10.3
JUL THRU SEP,Northeast,NEW JERSEY,2015,190,210,0.01,0.1,0.001,18500,,0.011,1.1,0.01,1,1,0,0,500,,3,0.007,0.7,7.20%,7.2
JUL THRU SEP,South,MISSISSIPPI,2018,110,2900,0.18,,,16500,,0.075,7.5,0.086,8.6,18,0.005,0.5,650,,4,0.072,7.2,25.20%,25.2
APR THRU JUN,Northeast,MASSACHUSETTS,2016,1100,300,0.04,0.3,0.003,4200,,0.023,2.3,0.106,10.6,4,0.106,10.6,440,,5,0.119,11.9,40.50%,40.5
JAN THRU MAR,Northeast,CONNECTICUT,2018,220,140,0.05,0,0,2900,,0.077,7.7,0.007,0.7,5,0.008,0.8,330,,11,0.035,3.5,14.50%,14.5
APR THRU JUN,Midwest,KANSAS,2022,6000,650,0.13,1.7,0.017,4600,400,0.23,23,0.01,1,13,0.161,16.1,580,,12,0.019,1.9,41.60%,41.6
JUL THRU SEP,West,ARIZONA,2021,2000,6500,0.21,0.7,0.007,31000,2700,0.054,5.4,0.015,1.5,21,0.066,6.6,2300,,7,0.106,10.6,20.30%,20.3
APR THRU JUN,Midwest,IOWA,2018,15500,4300,0.09,0.9,0.009,45000,,0.084,8.4,0.093,9.3,9,0.079,7.9,4800,,10,0.003,0.3,12.70%,12.7
APR THRU JUN,South,VIRGINIA,2017,3100,1000,0.11,0.9,0.009,8500,,0.018,1.8,0.18,18,11,0.05,5,1100,,12,0.048,4.8,18.70%,18.7
JUL THRU SEP,Midwest,ILLINOIS,2020,770,1400,0.1,1.8,0.018,14000,180,0.066,6.6,0.156,15.6,10,0.049,4.9,690,,5,0.084,8.4,28.10%,28.1
OCT THRU DEC,Midwest,OHIO,2017,510,2800,0.15,7.1,0.071,18500,,0.084,8.4,0.233,23.3,15,0.064,6.4,960,,5,0.029,2.9,45.30%,45.3
JUL THRU SEP,Midwest,INDIANA,2021,770,1700,0.1,5.2,0.052,16500,40,0.019,1.9,0.237,23.7,10,0.174,17.4,1400,,8,0.023,2.3,39.30%,39.3
APR THRU JUN,West,UTAH,2016,12000,4800,0.19,1.8,0.018,14500,,0.034,3.4,0.001,0.1,19,0.073,7.3,7000,,28,0.008,0.8,23.00%,23
JAN THRU MAR,Midwest,SOUTH DAKOTA,2016,1600,10500,0.13,0,0,47000,,0.005,0.5,0,0,13,0,0,0,,0,0.003,0.3,0.20%,0.2
APR THRU JUN,West,NEW MEXICO,2016,2700,1400,0.22,12.1,0.121,6500,,0.082,8.2,0.003,0.3,22,0.025,2.5,100,,2,0,0,59.10%,59.1
JAN THRU MAR,Northeast,MAINE,2018,20,410,0.22,0.2,0.002,1900,,0.052,5.2,0.006,0.6,22,0,0,30,,2,0.074,7.4,23.60%,23.6
JAN THRU MAR,South,TENNESSEE,2017,1500,1600,0.19,0.9,0.009,8500,,0.081,8.1,0.126,12.6,19,0.024,2.4,160,,2,0.07,7,28.60%,28.6
OCT THRU DEC,Midwest,NORTH DAKOTA,2015,2700,35000,0.13,1.8,0.018,230000,,0.037,3.7,0.023,2.3,13,0.015,1.5,9000,,3,0.021,2.1,10.80%,10.8
JUL THRU SEP,Midwest,NEBRASKA,2017,880,3700,0.08,0.4,0.004,46000,,0.092,9.2,0.066,6.6,8,0.071,7.1,13500,,29,0.002,0.2,15.10%,15.1
APR THRU JUN,Northeast,VERMONT,2015,580,100,0.02,0.1,0.001,6000,,0.013,1.3,0.019,1.9,2,0,0,50,,1,0.001,0.1,3.70%,3.7
OCT THRU DEC,West,ARIZONA,2019,300,7000,0.19,0.4,0.004,34000,3400,0.04,4,0.015,1.5,19,0.233,23.3,300,,1,0.029,2.9,53.90%,53.9
JAN THRU MAR,Midwest,NORTH DAKOTA,2016,4600,8500,0.06,0,0,89000,,0.001,0.1,0,0,6,0,0,0,,0,0.117,11.7,2.70%,2.7
JUL THRU SEP,Midwest,OHIO,2016,980,1600,0.08,2.3,0.023,21000,,0.036,3.6,0.106,10.6,8,0.029,2.9,630,,3,0.032,3.2,60.60%,60.6
OCT THRU DEC,West,NEW MEXICO,2018,50,3000,0.38,3.7,0.037,8000,,0.08,8,0.008,0.8,38,0.001,0.1,0,,0,0.012,1.2,81.30%,81.3
APR THRU JUN,South,KENTUCKY,2020,4200,1200,0.11,,,11000,120,0.029,2.9,0.109,10.9,11,0.012,1.2,3500,,32,0.032,3.2,18.30%,18.3
OCT THRU DEC,South,GEORGIA,2020,11000,30000,0.17,1.8,0.018,165000,10000,0.019,1.9,0.129,12.9,17,0.075,7.5,11000,,6,0.067,6.7,35.50%,35.5
OCT THRU DEC,Northeast,NEW YORK,2017,820,3900,0.08,8,0.08,51000,,0.004,0.4,0.127,12.7,8,0.054,5.4,460,,1,0.026,2.6,22.30%,22.3
APR THRU JUN,South,TEXAS,2016,74000,36000,0.1,7.5,0.075,340000,,0.074,7.4,0.09,9,10,0.024,2.4,54000,,15,0.037,3.7,26.10%,26.1
JUL THRU SEP,West,WYOMING,2021,430,2200,0.06,,,27000,410,0.008,0.8,,,6,0.005,0.5,3900,,11,0.008,0.8,4.70%,4.7
APR THRU JUN,Midwest,NORTH DAKOTA,2015,39000,29000,0.06,0.1,0.001,121000,,0.046,4.6,0.03,3,6,0.043,4.3,61000,,14,0.003,0.3,15.50%,15.5
APR THRU JUN,West,UTAH,2018,9500,1900,0.07,2,0.02,14500,,0.014,1.4,0.037,3.7,7,0.017,1.7,4100,,16,0.019,1.9,43.50%,43.5
OCT THRU DEC,West,UTAH,2018,180,3400,0.13,5.5,0.055,27000,,0.065,6.5,0.098,9.8,13,0.08,8,400,,1,0.049,4.9,48.00%,48
APR THRU JUN,Midwest,ILLINOIS,2022,4300,1100,0.12,3.2,0.032,9000,110,0.073,7.3,0.074,7.4,12,0.016,1.6,2100,,22,0.106,10.6,18.30%,18.3
JAN THRU MAR,Northeast,VERMONT,2021,700,1300,0.17,3.7,0.037,7500,140,0.101,10.1,,,17,0,0,70,,1,,,21.10%,21.1
JAN THRU MAR,West,ARIZONA,2015,3400,4600,0.13,0.1,0.001,35000,,0.018,1.8,0.205,20.5,13,0,0,2100,,6,0.031,3.1,26.90%,26.9
JAN THRU MAR,South,TEXAS,2020,83000,35000,0.1,1.3,0.013,235000,4200,0.052,5.2,0.068,6.8,10,0.034,3.4,24000,,7,0.046,4.6,12.20%,12.2
APR THRU JUN,West,WYOMING,2021,7500,2700,0.09,0,0,13500,1700,0.015,1.5,0.009,0.9,9,0.069,6.9,4900,,16,0.024,2.4,8.30%,8.3
JAN THRU MAR,Midwest,SOUTH DAKOTA,2021,0,450,0.01,0,0,28000,2100,,,0,0,1,,,0,,0,0.008,0.8,8.60%,8.6
APR THRU JUN,Northeast,NEW YORK,2022,6000,2000,0.04,0.8,0.008,35000,470,0.017,1.7,0.034,3.4,4,,,4400,,8,0.01,1,23.20%,23.2
OCT THRU DEC,West,MONTANA,2021,3200,17000,0.17,3.1,0.031,92000,180,0.049,4.9,0.029,2.9,17,0,0,8000,,8,,,27.20%,27.2
APR THRU JUN,West,OREGON,2015,14500,5500,0.06,13.2,0.132,82000,,0.058,5.8,0.209,20.9,6,0.16,16,9500,,10,0.004,0.4,39.30%,39.3
JAN THRU MAR,Northeast,NEW YORK,2022,370,5500,0.13,,,44000,910,0.077,7.7,0.041,4.1,13,0.031,3.1,730,,2,0.066,6.6,16.60%,16.6
JAN THRU MAR,South,ALABAMA,2016,2100,1700,0.23,4.3,0.043,7500,,0.024,2.4,0.22,22,23,0.081,8.1,90,,1,0.113,11.3,24.20%,24.2
APR THRU JUN,Midwest,OHIO,2022,4300,400,0.03,5.1,0.051,14500,140,0.023,2.3,0.056,5.6,3,0.033,3.3,1200,,8,0.021,2.1,51.20%,51.2
APR THRU JUN,West,COLORADO,2022,7500,1400,0.07,0.6,0.006,8000,60,0.166,16.6,0,0,7,,,2300,,12,,,27.00%,27
APR THRU JUN,South,TENNESSEE,2017,2600,1300,0.14,1,0.01,8500,,0.106,10.6,0.255,25.5,14,0.031,3.1,1500,,17,0.039,3.9,53.40%,53.4
APR THRU JUN,Northeast,MAINE,2021,430,1100,0.06,,,2200,50,0.015,1.5,0,0,6,0,0,260,,1,0,0,13.90%,13.9
OCT THRU DEC,South,MISSISSIPPI,2020,300,3800,0.1,0,0,30000,300,0.078,7.8,0.015,1.5,10,0.006,0.6,30,,,0.059,5.9,7.80%,7.8
APR THRU JUN,South,WEST VIRGINIA,2017,4100,370,0.05,1.8,0.018,7500,,0.037,3.7,0.016,1.6,5,0.004,0.4,2500,,33,0.016,1.6,11.60%,11.6
JUL THRU SEP,Northeast,NEW JERSEY,2019,650,680,0.04,0.3,0.003,16000,240,0.005,0.5,0.023,2.3,4,0.002,0.2,3100,,19,0.001,0.1,26.10%,26.1
APR THRU JUN,South,OKLAHOMA,2017,4700,200,0.01,11.2,0.112,17000,,0.077,7.7,0.023,2.3,1,0.005,0.5,1200,,7,0.003,0.3,23.60%,23.6
JAN THRU MAR,Midwest,KANSAS,2022,140,520,0.1,3.7,0.037,5000,110,0.042,4.2,0.218,21.8,10,0.017,1.7,60,,1,0.051,5.1,37.80%,37.8
OCT THRU DEC,South,KENTUCKY,2019,190,410,0.05,0.2,0.002,8500,110,0.12,12,0.201,20.1,5,0.053,5.3,170,,2,0.099,9.9,33.00%,33
JAN THRU MAR,West,COLORADO,2018,1400,4900,0.23,3.8,0.038,13000,,0.137,13.7,0.008,0.8,23,0.005,0.5,190,,1,0.024,2.4,31.70%,31.7
JUL THRU SEP,West,WYOMING,2015,270,2500,0.07,6.4,0.064,29000,,0.02,2,0.11,11,7,0.034,3.4,440,,1,0.004,0.4,28.50%,28.5
JUL THRU SEP,Northeast,MAINE,2017,210,400,0.07,0.9,0.009,5500,,0.012,1.2,0.009,0.9,7,0.039,3.9,290,,5,0.001,0.1,3.40%,3.4
OCT THRU DEC,South,TENNESSEE,2016,120,840,0.09,0,0,9000,,0.022,2.2,0.216,21.6,9,0.011,1.1,10,,0,0.031,3.1,19.90%,19.9
JAN THRU MAR,South,ALABAMA,2021,670,1100,0.11,0,0,10000,270,0.031,3.1,0.303,30.3,11,,,200,,2,0.04,4,52.20%,52.2
JAN THRU MAR,South,NORTH CAROLINA,2016,1100,2600,0.11,1.9,0.019,18500,,0.04,4,0.025,2.5,11,0.027,2.7,230,,1,0.024,2.4,9.50%,9.5
JAN THRU MAR,Northeast,NEW YORK,2015,430,6500,0.22,0.5,0.005,27000,,0.124,12.4,0.026,2.6,22,0.044,4.4,950,,3,0.083,8.3,7.60%,7.6
JAN THRU MAR,South,TEXAS,2016,126000,30000,0.09,2.3,0.023,240000,,0.037,3.7,0.098,9.8,9,0.094,9.4,49000,,15,0.025,2.5,19.40%,19.4
JAN THRU MAR,West,WYOMING,2017,1300,3600,0.21,0.2,0.002,6500,,0.006,0.6,0,0,21,0,0,0,,0,,,0.20%,0.2
JUL THRU SEP,Northeast,MAINE,2018,60,890,0.07,1.1,0.011,12500,,0.035,3.5,0.01,1,7,0,0,170,,1,0.005,0.5,37.00%,37
JUL THRU SEP,South,TEXAS,2016,12500,12000,0.08,1.7,0.017,129000,,0.037,3.7,0.114,11.4,8,0.314,31.4,810,,1,0.041,4.1,47.20%,47.2
JUL THRU SEP,West,IDAHO,2020,18500,11000,0.13,6.7,0.067,70000,1900,0.09,9,0.026,2.6,13,0.109,10.9,8500,,10,0.038,3.8,45.00%,45
JAN THRU MAR,West,HAWAII,2020,1300,1800,0.11,,,16000,260,,,0.608,60.8,11,0,0,2200,,14,,,75.30%,75.3
JUL THRU SEP,South,WEST VIRGINIA,2018,170,520,0.07,0.3,0.003,7500,,0.068,6.8,0.526,52.6,7,0.003,0.3,1200,,15,0.021,2.1,57.00%,57
APR THRU JUN,West,IDAHO,2016,19000,6000,0.08,2.7,0.027,60000,,0.054,5.4,0.048,4.8,8,0.031,3.1,5500,,7,0.027,2.7,21.20%,21.2
JAN THRU MAR,Midwest,ILLINOIS,2015,2300,4200,0.4,0.7,0.007,6000,,0.126,12.6,0.069,6.9,40,0.004,0.4,390,,4,0.116,11.6,12.30%,12.3
JAN THRU MAR,Midwest,MICHIGAN,2020,10000,7000,0.12,,,60000,1400,,,0.005,0.5,12,,,100,,,0.007,0.7,8.10%,8.1
JUL THRU SEP,South,KENTUCKY,2018,300,840,0.12,1.6,0.016,6500,,0.045,4.5,0.265,26.5,12,0.015,1.5,660,,9,0.076,7.6,47.10%,47.1
JAN THRU MAR,Midwest,MINNESOTA,2017,3300,3500,0.09,0.1,0.001,27000,,0.09,9,0.004,0.4,9,0.009,0.9,0,,0,0.058,5.8,2.10%,2.1
JAN THRU MAR,Midwest,OHIO,2017,1300,4400,0.25,0.6,0.006,15500,,0.052,5.2,0.116,11.6,25,0.001,0.1,530,,3,0.165,16.5,25.80%,25.8
JUL THRU SEP,South,ALABAMA,2015,160,1400,0.16,0,0,8500,,0.022,2.2,0.706,70.6,16,0.026,2.6,260,,3,0.177,17.7,63.10%,63.1
OCT THRU DEC,Midwest,KANSAS,2018,420,1000,0.18,26,0.26,5500,,0.016,1.6,0.313,31.3,18,0.437,43.7,10,,,0.264,26.4,62.00%,62
OCT THRU DEC,Midwest,NEBRASKA,2019,320,2700,0.07,0,0,37000,570,0.028,2.8,0.01,1,7,0.035,3.5,10,,,0.064,6.4,5.80%,5.8
JUL THRU SEP,Midwest,OHIO,2020,730,1900,0.09,0.8,0.008,22000,200,0.108,10.8,0.104,10.4,9,0.037,3.7,2100,,10,0.014,1.4,28.60%,28.6
OCT THRU DEC,Midwest,MISSOURI,2018,170,880,0.09,1.1,0.011,10000,,0.019,1.9,0.1,10,9,0.023,2.3,150,,2,0.041,4.1,37.00%,37
APR THRU JUN,Midwest,NORTH DAKOTA,2022,12000,16500,0.04,0.9,0.009,90000,7000,0.097,9.7,0.224,22.4,4,0.047,4.7,9000,,2,0.005,0.5,38.70%,38.7
JUL THRU SEP,South,SOUTH CAROLINA,2015,880,2000,0.17,18.3,0.183,12000,,0.039,3.9,0.31,31,17,0.147,14.7,580,,5,0.03,3,58.40%,58.4
OCT THRU DEC,South,GEORGIA,2019,10500,20000,0.15,5.6,0.056,119000,11000,0.026,2.6,0.182,18.2,15,0.091,9.1,10500,,8,0.044,4.4,34.30%,34.3
JUL THRU SEP,South,MISSISSIPPI,2020,2500,1600,0.06,,,26000,890,0.033,3.3,0.418,41.8,6,,,130,,,0.062,6.2,45.70%,45.7
APR THRU JUN,Midwest,MICHIGAN,2016,13500,7500,0.07,1.1,0.011,40000,,0.118,11.8,0.093,9.3,7,0.165,16.5,3200,,3,0.011,1.1,54.10%,54.1
APR THRU JUN,South,MARYLAND,2021,2600,320,0.04,,,6500,50,0.02,2,0.089,8.9,4,0.006,0.6,690,,9,0.014,1.4,17.20%,17.2
OCT THRU DEC,South,LOUISIANA,2021,1400,2800,0.08,0,0,30000,450,,,0.054,5.4,8,,,1300,,4,0.053,5.3,28.20%,28.2
APR THRU JUN,West,WASHINGTON,2017,30000,7000,0.06,4.2,0.042,75000,,0.036,3.6,0.05,5,6,0.075,7.5,20000,,18,0.004,0.4,21.30%,21.3
JUL THRU SEP,West,OREGON,2019,6000,8000,0.07,19.8,0.198,83000,470,0.166,16.6,0.128,12.8,7,0.151,15.1,21000,,18,0.004,0.4,35.40%,35.4
APR THRU JUN,Midwest,INDIANA,2017,3000,1200,0.11,0.1,0.001,7500,,0.086,8.6,0.021,2.1,11,0.433,43.3,510,,5,0.012,1.2,5.50%,5.5
JUL THRU SEP,Midwest,WISCONSIN,2015,1300,9000,0.15,8.3,0.083,60000,,0.126,12.6,0.201,20.1,15,0.209,20.9,4300,,7,0.135,13.5,47.30%,47.3
JUL THRU SEP,South,WEST VIRGINIA,2020,210,540,0.07,4.7,0.047,8000,480,0.017,1.7,0.101,10.1,7,0.047,4.7,800,,10,0.026,2.6,17.70%,17.7
APR THRU JUN,Midwest,OHIO,2015,10000,2100,0.11,3,0.03,17500,,0.112,11.2,0.041,4.1,11,0.119,11.9,6000,,32,0.29,29,15.80%,15.8
OCT THRU DEC,Midwest,NORTH DAKOTA,2016,13500,44000,0.11,1.5,0.015,385000,,0.026,2.6,0.079,7.9,11,0.004,0.4,2500,,1,0.022,2.2,23.50%,23.5
JAN THRU MAR,South,ALABAMA,2020,1900,410,0.06,0,0,5500,70,0.017,1.7,0.034,3.4,6,0.001,0.1,780,,11,0.043,4.3,12.40%,12.4
APR THRU JUN,South,NORTH CAROLINA,2018,4100,2500,0.14,0.5,0.005,16000,,0.146,14.6,0.026,2.6,14,0.024,2.4,800,,5,0.008,0.8,9.70%,9.7
OCT THRU DEC,West,MONTANA,2020,3500,14000,0.15,11.6,0.116,81000,1000,0.044,4.4,0.116,11.6,15,0.026,2.6,290,,,0.06,6,15.10%,15.1
OCT THRU DEC,South,VIRGINIA,2017,300,1100,0.12,1.3,0.013,9500,,0.069,6.9,0.206,20.6,12,0.075,7.5,210,,2,0.039,3.9,20.90%,20.9
JUL THRU SEP,Midwest,MINNESOTA,2021,5000,7000,0.07,,,106000,2300,0.023,2.3,0.011,1.1,7,0.105,10.5,1300,,1,0.018,1.8,27.50%,27.5
APR THRU JUN,Northeast,PENNSYLVANIA,2022,7000,730,0.03,0.6,0.006,23000,590,0.011,1.1,0.033,3.3,3,,,2300,,10,0.021,2.1,19.00%,19
OCT THRU DEC,West,CALIFORNIA,2021,15000,50000,0.04,3.7,0.037,640000,10000,0.028,2.8,0.048,4.8,4,0.019,1.9,29000,,2,0.02,2,14.60%,14.6
OCT THRU DEC,West,IDAHO,2020,8000,19000,0.11,4.3,0.043,94000,4400,0.048,4.8,0.089,8.9,11,0.048,4.8,1700,,1,0.054,5.4,52.10%,52.1
OCT THRU DEC,South,WEST VIRGINIA,2020,120,550,0.07,,,7500,150,0.045,4.5,0.043,4.3,7,0.01,1,800,,11,0.011,1.1,7.20%,7.2
JUL THRU SEP,Midwest,SOUTH DAKOTA,2019,1300,51000,0.2,0.3,0.003,255000,1200,0.04,4,0.035,3.5,20,0.14,14,8000,,3,0.015,1.5,10.40%,10.4
APR THRU JUN,West,CALIFORNIA,2016,240000,108000,0.09,11.2,0.112,1110000,,0.153,15.3,0.141,14.1,9,0.142,14.2,185000,,16,0.026,2.6,49.70%,49.7
APR THRU JUN,Midwest,OHIO,2020,9500,1700,0.1,6.2,0.062,15500,130,0.073,7.3,0.12,12,10,0.058,5.8,3700,,22,0.133,13.3,23.80%,23.8
OCT THRU DEC,South,WEST VIRGINIA,2019,30,1500,0.19,1.1,0.011,7500,870,0.061,6.1,0.107,10.7,19,0.004,0.4,1600,,20,0.022,2.2,65.80%,65.8
JUL THRU SEP,South,VIRGINIA,2016,460,810,0.1,1.1,0.011,8000,,0.053,5.3,0.241,24.1,10,0.023,2.3,360,,5,0.036,3.6,39.10%,39.1
JAN THRU MAR,West,CALIFORNIA,2021,189000,275000,0.17,1.7,0.017,1180000,6000,0.062,6.2,0.057,5.7,17,0.072,7.2,84000,,5,0.034,3.4,29.90%,29.9
APR THRU JUN,South,OKLAHOMA,2020,6000,1500,0.09,,,16000,40,0.151,15.1,0.039,3.9,9,0.009,0.9,3100,,19,0.051,5.1,16.20%,16.2
APR THRU JUN,Northeast,VERMONT,2021,770,40,0.01,0.5,0.005,7000,10,0.015,1.5,0.008,0.8,1,0,0,570,,8,0,0,28.10%,28.1
JUL THRU SEP,Midwest,INDIANA,2018,520,990,0.09,1.4,0.014,11500,,0.05,5,0.122,12.2,9,0.206,20.6,1200,,10,0.005,0.5,29.50%,29.5
APR THRU JUN,South,MARYLAND,2015,2600,370,0.03,0.2,0.002,8000,,0.016,1.6,0.013,1.3,3,0.025,2.5,710,,7,0.015,1.5,4.90%,4.9
APR THRU JUN,South,SOUTH CAROLINA,2018,2600,1300,0.09,0.7,0.007,14000,,0.1,10,0.035,3.5,9,0.016,1.6,4000,,29,0.03,3,14.20%,14.2
OCT THRU DEC,West,CALIFORNIA,2016,40000,205000,0.15,8,0.08,770000,,0.096,9.6,0.137,13.7,15,0.091,9.1,35000,,3,0.035,3.5,41.90%,41.9
OCT THRU DEC,South,SOUTH CAROLINA,2021,70,3200,0.15,,,20000,120,0.008,0.8,0.055,5.5,15,0.113,11.3,150,,1,0.02,2,28.10%,28.1
JUL THRU SEP,South,KENTUCKY,2019,700,850,0.1,0.4,0.004,8000,200,0.079,7.9,0.176,17.6,10,0.052,5.2,430,,5,0.086,8.6,29.20%,29.2
JUL THRU SEP,Northeast,NEW YORK,2018,3600,3900,0.07,18.6,0.186,55000,,0.229,22.9,0.206,20.6,7,0.244,24.4,3700,,7,0.102,10.2,40.70%,40.7
JUL THRU SEP,West,WASHINGTON,2017,5500,17000,0.18,2,0.02,82000,,0.007,0.7,0.027,2.7,18,0.012,1.2,10500,,11,0.024,2.4,23.70%,23.7
OCT THRU DEC,Midwest,SOUTH DAKOTA,2021,1400,11500,0.06,,,190000,1300,0.017,1.7,0.09,9,6,0.074,7.4,120,,,0.016,1.6,45.80%,45.8
JAN THRU MAR,West,HAWAII,2016,570,280,0.02,0,0,15000,,0.008,0.8,0.015,1.5,2,0.001,0.1,530,,4,0,0,0.30%,0.3
OCT THRU DEC,West,HAWAII,2017,970,130,0.01,0.1,0.001,15000,,0.001,0.1,0.661,66.1,1,0,0,290,,2,0,0,57.20%,57.2
OCT THRU DEC,West,CALIFORNIA,2020,120000,164000,0.12,7.1,0.071,700000,21000,0.042,4.2,0.111,11.1,12,0.048,4.8,58000,,4,0.04,4,45.50%,45.5
APR THRU JUN,Midwest,OHIO,2017,7000,1100,0.07,6.2,0.062,13500,,0.166,16.6,0.064,6.4,7,0.104,10.4,2500,,17,0.03,3,45.50%,45.5
JAN THRU MAR,Northeast,NEW JERSEY,2017,10,490,0.08,0.3,0.003,6000,,0.008,0.8,0.007,0.7,8,0.001,0.1,0,,0,0.006,0.6,16.30%,16.3
JUL THRU SEP,West,COLORADO,2018,1500,5000,0.14,5.6,0.056,34000,,0.085,8.5,0.166,16.6,14,0.029,2.9,5000,,14,0.045,4.5,72.60%,72.6
JUL THRU SEP,West,HAWAII,2016,430,600,0.04,0.1,0.001,13500,,0,0,0.753,75.3,4,0.008,0.8,820,,6,0,0,67.80%,67.8
OCT THRU DEC,Northeast,PENNSYLVANIA,2018,270,4000,0.19,6.7,0.067,21000,,0.078,7.8,0.107,10.7,19,0.13,13,1500,,7,0.054,5.4,26.90%,26.9
JUL THRU SEP,Northeast,NEW YORK,2019,3200,8500,0.12,1.2,0.012,65000,3200,0.025,2.5,0.115,11.5,12,0.082,8.2,3700,,5,0.038,3.8,30.70%,30.7
JUL THRU SEP,Midwest,WISCONSIN,2018,2400,10000,0.14,2.6,0.026,61000,,0.061,6.1,0.327,32.7,14,0.195,19.5,3800,,6,0.043,4.3,54.40%,54.4
